Fecha,Venta
29-06-2020,100.39
28-06-2020,102.47
27-06-2020,102.47
26-06-2020,102.47
25-06-2020,104.21
24-06-2020,107.3
23-06-2020,107.67
22-06-2020,108.12
21-06-2020,109.53
20-06-2020,109.53
19-06-2020,109.53
18-06-2020,107.1
17-06-2020,104.96
16-06-2020,105.31
15-06-2020,106.59
14-06-2020,106.59
13-06-2020,106.59
12-06-2020,106.59
11-06-2020,107.49
10-06-2020,108.07
09-06-2020,108.73
08-06-2020,110.0
07-06-2020,109.86
06-06-2020,109.86
05-06-2020,109.86
04-06-2020,108.27
03-06-2020,107.91
02-06-2020,106.39
01-06-2020,108.77
31-05-2020,107.71
30-05-2020,107.71
29-05-2020,107.71
28-05-2020,109.41
27-05-2020,105.56
26-05-2020,106.32
25-05-2020,109.53
24-05-2020,109.53
23-05-2020,109.53
22-05-2020,109.53
21-05-2020,114.37
20-05-2020,114.84
19-05-2020,114.22
18-05-2020,115.54
17-05-2020,117.95
16-05-2020,117.95
15-05-2020,117.95
14-05-2020,119.36
13-05-2020,122.77
12-05-2020,119.31
11-05-2020,115.98
10-05-2020,112.98
09-05-2020,112.98
08-05-2020,112.98
07-05-2020,115.77
06-05-2020,115.88
05-05-2020,117.08
04-05-2020,110.19
03-05-2020,112.31
02-05-2020,112.31
01-05-2020,112.31
30-04-2020,112.31
29-04-2020,108.87
28-04-2020,116.95
27-04-2020,112.92
26-04-2020,108.35
25-04-2020,108.35
24-04-2020,108.35
23-04-2020,110.05
22-04-2020,109.18
21-04-2020,108.43
20-04-2020,104.23
19-04-2020,99.84
18-04-2020,99.84
17-04-2020,99.84
16-04-2020,103.37
15-04-2020,108.32
14-04-2020,106.26
13-04-2020,101.09
12-04-2020,94.27
11-04-2020,94.27
10-04-2020,94.27
09-04-2020,94.27
08-04-2020,94.27
07-04-2020,90.44
06-04-2020,89.57
05-04-2020,88.42
04-04-2020,88.42
03-04-2020,88.42
02-04-2020,87.78
01-04-2020,87.88
31-03-2020,85.96
30-03-2020,85.96
29-03-2020,85.42
28-03-2020,85.42
27-03-2020,85.42
26-03-2020,83.2
25-03-2020,86.79
24-03-2020,91.4
23-03-2020,91.4
22-03-2020,91.4
21-03-2020,91.4
20-03-2020,91.4
